Ticker,Company Name,Combined
BDX,Becton Dickinson,BDX - Becton Dickinson
BRK.B,Berkshire Hathaway,BRK.B - Berkshire Hathaway
BBY,Best Buy,BBY - Best Buy
TECH,Bio-Techne,TECH - Bio-Techne
BIIB,Biogen,BIIB - Biogen
BLK,BlackRock,BLK - BlackRock
BX,Blackstone Inc.,BX - Blackstone Inc.
BK,BNY Mellon,BK - BNY Mellon
BA,Boeing,BA - Boeing
BKNG,Booking Holdings,BKNG - Booking Holdings
